title,price,discountedPrice
Counter-Strike: Global Offensive,Free game,Free game
Apex Legends™,Free game,Free game
Slime Rancher 2,23.79,23.79
Destiny 2,Free game,Free game
Cyberpunk 2077,49.99,24.99
Dota 2,Free game,Free game
Lost Ark,Free game,Free game
War Thunder,Free game,Free game
Grand Theft Auto V,Free game,Free game
Marvel’s Spider-Man Remastered,49.99,49.99
Rust,34.99,34.99
Dead by Daylight,14.99,14.99
The Elder Scrolls® Online,15.99,15.99
Hearts of Iron IV,34.99,34.99
Tom Clancy's Rainbow Six® Siege,16.99,16.99
ELDEN RING,49.99,49.99
Sea of Thieves,34.99,17.49
Warframe,Free game,Free game
Team Fortress 2,Free game,Free game
PlateUp!,14.99,11.99
Stray,23.99,23.99
Total War: WARHAMMER III,49.99,49.99
PUBG: BATTLEGROUNDS,Free game,Free game
FINAL FANTASY XIV Online,9.99,9.99
Cult of the Lamb,19.49,19.49
Black Desert,8.99,0.89
MONSTER HUNTER RISE,49.99,24.99
Ready or Not,30.99,30.99
Raft,14.99,14.99
GUNDAM EVOLUTION,Free game,Free game
PAYDAY 2,8.99,4.49
Hunt: Showdown,35.99,35.99
FINAL FANTASY VII REMAKE INTERGRADE,69.99,49.69
Hades,19.49,11.69
New World,34.99,34.99
NARAKA: BLADEPOINT,17.99,17.99
Phasmophobia,10.99,10.99
Call of Duty®: Modern Warfare® II,59.99,59.99
Red Dead Redemption 2,54.99,54.99
Half-Life: Alyx,46.49,23.24
Forza Horizon 5,49.99,49.99
Call of Duty®: Black Ops III,44.99,44.99
Halo: The Master Chief Collection,29.99,11.99
Devil May Cry 5,23.99,7.91
Tiny Tina's Wonderlands,54.99,36.84
The Elder Scrolls V: Skyrim Special Edition,34.99,34.99
Deep Rock Galactic,24.99,12.49
God of War,39.99,39.99
Metal: Hellsinger,24.99,24.99
ARK: Survival Evolved,15.49,15.49
